ScriptName,ISIN,BuyQty,BuyRate,BuyVal,SellQty,SellRate,SellVal,LTPRate,LTPVal,NetRealizedPnL,IncomeTax
NIFTY01Dec2022PE18800.00,NSE-F&O,3600,0.377486,1358.9496,3600,17.499242,62997.2712,0,0,61638.3216,18491.5
NIFTY01Sep2022CE17500.00,NSE-F&O,2800,47.13885,131988.78,2800,39.55515,110754.42,0,0,-21234.36,0
NIFTY01Sep2022CE17550.00,NSE-F&O,2800,4.615579,12923.6212,2800,13.083379,36633.4612,0,0,23709.84,7112.95
NIFTY01Sep2022CE17600.00,NSE-F&O,5600,30.7243,172056.08,5600,15.0316285,84177.1196,0,0,-87878.9604,0
NIFTY01Sep2022PE17300.00,NSE-F&O,2800,9.470686,26517.9208,2800,71.514943,200241.8404,0,0,173723.9196,52117.18
NIFTY01Sep2022PE17400.00,NSE-F&O,5600,9.842325,55117.02,5600,67.435643,377639.6008,0,0,322522.5808,96756.77
NIFTY01Sep2022PE17500.00,NSE-F&O,5600,27.169891,152151.3896,5600,80.428632,450400.3392,0,0,298248.9496,89474.68
NIFTY01Sep2022PE17550.00,NSE-F&O,5600,95.290482,533626.6992,5600,47.727557,267274.3192,0,0,-266352.38,0
NIFTY01Sep2022PE17700.00,NSE-F&O,2800,233.006654,652418.6312,2800,150.527632,421477.3696,0,0,-230941.2616,0
NIFTY02Feb2023CE17600.00,NSE-F&O,5700,87.8577387,500789.1106,5700,123.2248684,702381.7496,0,0,201592.639,60477.79
NIFTY02Feb2023CE17700.00,NSE-F&O,5400,121.198837,654473.7198,5400,106.6019797,575650.6902,0,0,-78823.0296,0
NIFTY02Feb2023CE17900.00,NSE-F&O,1800,10.610728,19099.3104,1800,48.54085,87373.53,0,0,68274.2196,20482.27
NIFTY02Feb2023CE18100.00,NSE-F&O,5400,10.81241667,58387.05,5400,25.41432767,137237.3694,0,0,78850.3194,23655.1
NIFTY02Feb2023PE17400.00,NSE-F&O,5400,65.571094,354083.9076,5400,31.154239,168232.8906,0,0,-185851.017,0
NIFTY02Feb2023PE17500.00,NSE-F&O,1800,112.528961,202552.1298,1800,101.268856,182283.9408,0,0,-20268.189,0
NIFTY02Feb2023PE17600.00,NSE-F&O,7750,48.28346937,374196.8877,7750,44.91941257,348125.4474,0,0,-26071.44025,0
NIFTY02Feb2023PE17800.00,NSE-F&O,3600,103.966225,374278.41,3600,121.502797,437410.0692,0,0,63131.6592,18939.5
NIFTY02Feb2023PE17900.00,NSE-F&O,1800,209.0148725,376226.7705,1800,69.54255,125176.59,0,0,-251050.1805,0
NIFTY02Jun2022CE16450.00,NSE-F&O,2000,175.58599,351171.98,2000,85.56613,171132.26,0,0,-180039.72,0
NIFTY02Jun2022CE16500.00,NSE-F&O,2800,128.037779,358505.7812,2800,123.507204,345820.1712,0,0,-12685.61,0
NIFTY02Jun2022CE16600.00,NSE-F&O,5600,29.044225,162647.66,5600,76.259589,427053.6984,0,0,264406.0384,79321.81
