entryDt,Entry_relventExpiryDt,Entry_BANKNIFTY_price,Entry_CE_strike,Entry_PE_strike,Entry_symbolCE,Entry_symbolPE,Entry_year,Entry_CEprice,Entry_PEprice,exitDt,Exit_relventExpiryDt,Exit_BANKNIFTY_price,Exit_CE_strike,Exit_PE_strike,Exit_symbolCE,Exit_symbolPE,Exit_year,Exit_CEprice,Exit_PEprice
18-11-2021 15:15,25-11-2021 15:15,37946.4,38000,37800,BANKNIFTY21112538000CE,BANKNIFTY21112537800PE,2021,376.8,234.15,25-11-2021 15:15,25-11-2021 15:15,37332.65,38000,37800,BANKNIFTY21112538000CE,BANKNIFTY21112537800PE,2021,0.25,457.6
25-11-2021 15:15,02-12-2021 15:15,37332.65,37400,37200,BANKNIFTY21120237400CE,BANKNIFTY21120237200PE,2021,365,260.6,02-12-2021 15:15,02-12-2021 15:15,36482.2,37400,37200,BANKNIFTY21120237400CE,BANKNIFTY21120237200PE,2021,0.1,716.3
02-12-2021 15:15,09-12-2021 15:15,36482.2,36600,36400,BANKNIFTY21120936600CE,BANKNIFTY21120936400PE,2021,397.05,380,09-12-2021 15:15,09-12-2021 15:15,37076.65,36600,36400,BANKNIFTY21120936600CE,BANKNIFTY21120936400PE,2021,483,0.1
09-12-2021 15:15,16-12-2021 15:15,37076.65,37200,37000,BANKNIFTY21121637200CE,BANKNIFTY21121637000PE,2021,349.55,340.95,16-12-2021 15:15,16-12-2021 15:15,36557.2,37200,37000,BANKNIFTY21121637200CE,BANKNIFTY21121637000PE,2021,0.2,455.5
16-12-2021 15:15,23-12-2021 15:15,36557.2,36700,36500,BANKNIFTY21122336700CE,BANKNIFTY21122336500PE,2021,375,334.4,23-12-2021 15:15,23-12-2021 15:15,35241.4,36700,36500,BANKNIFTY21122336700CE,BANKNIFTY21122336500PE,2021,0.15,1248.35
23-12-2021 15:15,30-12-2021 15:15,35241.4,35300,35100,BANKNIFTY21123035300CE,BANKNIFTY21123035100PE,2021,381.5,290.7,30-12-2021 15:15,30-12-2021 15:15,35081.25,35300,35100,BANKNIFTY21123035300CE,BANKNIFTY21123035100PE,2021,0.55,42.65
30-12-2021 15:15,06-01-2022 15:15,35081.25,35200,35000,BANKNIFTY22010635200CE,BANKNIFTY22010635000PE,2021,376,353,06-01-2022 15:15,06-01-2022 15:15,37469.4,35200,35000,BANKNIFTY22010635200CE,BANKNIFTY22010635000PE,2021,,
06-01-2022 15:15,13-01-2022 15:15,37469.4,37600,37400,BANKNIFTY22011337600CE,BANKNIFTY22011337400PE,2022,431.1,411.45,13-01-2022 15:15,13-01-2022 15:15,38495.1,37600,37400,BANKNIFTY22011337600CE,BANKNIFTY22011337400PE,2022,886.7,0.05
13-01-2022 15:15,20-01-2022 15:15,38495.1,38600,38400,BANKNIFTY22012038600CE,BANKNIFTY22012038400PE,2022,429.35,400.85,20-01-2022 15:15,20-01-2022 15:15,37930.65,38600,38400,BANKNIFTY22012038600CE,BANKNIFTY22012038400PE,2022,0.25,510.8
20-01-2022 15:15,27-01-2022 15:15,37930.65,38000,37800,BANKNIFTY22012738000CE,BANKNIFTY22012737800PE,2022,450.9,313.65,27-01-2022 15:15,27-01-2022 15:15,38080.5,38000,37800,BANKNIFTY22012738000CE,BANKNIFTY22012737800PE,2022,27.2,0.35
