,Date,portfolio_values
663,2020-12-07,147900258
664,2020-12-08,148699639
665,2020-12-09,150587133
666,2020-12-10,150546146
667,2020-12-11,151182165
668,2020-12-14,151466255
669,2020-12-15,150975181
670,2020-12-16,152422693
671,2020-12-17,153171521
672,2020-12-18,153550536
673,2020-12-21,149533483
674,2020-12-22,150746486
675,2020-12-23,152513158
676,2020-12-24,154346811
677,2020-12-28,155458317
678,2020-12-29,156375119
679,2020-12-30,156431711
680,2020-12-31,156213947
681,2021-01-01,156753315
682,2021-01-04,157917455
683,2021-01-05,158717065
684,2021-01-06,157773854
685,2021-01-07,157172889
686,2021-01-08,158923250
687,2021-01-11,160990707
688,2021-01-12,162056880
689,2021-01-13,162110437
690,2021-01-14,162987971
691,2021-01-15,161888745
692,2021-01-18,160720196
693,2021-01-19,163073393
694,2021-01-20,164226399
695,2021-01-21,163398908
696,2021-01-22,161353166
697,2021-01-25,159746660
698,2021-01-27,156776188
699,2021-01-28,154323557
700,2021-01-29,152262735
701,2021-02-01,159678222
702,2021-02-02,163408159
703,2021-02-03,164329653
704,2021-02-04,165529430
705,2021-02-05,165593955
706,2021-02-08,167277429
707,2021-02-09,167054914
708,2021-02-10,166832193
709,2021-02-11,167590937
710,2021-02-12,167486370
711,2021-02-15,169189047
712,2021-02-16,168729751
713,2021-02-17,167340252
714,2021-02-18,165661431
715,2021-02-19,164732552
716,2021-02-22,161610903
717,2021-02-23,161158991
718,2021-02-24,164142688
719,2021-02-25,164594532
720,2021-02-26,158500865
721,2021-03-01,160283674
722,2021-03-02,161854924
723,2021-03-03,165775663
724,2021-03-04,163869766
725,2021-03-05,162558452
726,2021-03-08,162223049
727,2021-03-09,164598989
728,2021-03-10,165100450
729,2021-03-12,163626344
730,2021-03-15,162493458
731,2021-03-16,162540366
732,2021-03-17,161523568
733,2021-03-18,159655395
734,2021-03-19,161832336
735,2021-03-22,162022998
736,2021-03-23,162609999
737,2021-03-24,159850998
738,2021-03-25,157503403
739,2021-03-26,159252741
740,2021-03-30,163148130
741,2021-03-31,163148130
742,2021-04-01,164860767
743,2021-04-05,161340199
744,2021-04-06,161622230
745,2021-04-07,163333739
746,2021-04-08,163317665
747,2021-04-09,162804466
748,2021-04-12,156821010
