,Date,portfolio_values
651,2020-11-18,151095541
652,2020-11-19,151263461
653,2020-11-20,152520211
654,2020-11-23,155400501
655,2020-11-24,155861761
656,2020-11-25,153900747
657,2020-11-26,156112981
658,2020-11-27,155522323
659,2020-12-01,156374342
660,2020-12-02,157962765
661,2020-12-03,159276445
662,2020-12-04,159991308
663,2020-12-07,160871969
664,2020-12-08,160829556
665,2020-12-09,161223498
666,2020-12-10,161360685
667,2020-12-11,161629265
668,2020-12-14,162855018
669,2020-12-15,162623841
670,2020-12-16,164224843
671,2020-12-17,164323903
672,2020-12-18,165965793
673,2020-12-21,160734187
674,2020-12-22,164335414
675,2020-12-23,166779731
676,2020-12-24,167520326
677,2020-12-28,168097571
678,2020-12-29,167798550
679,2020-12-30,168111215
680,2020-12-31,168226386
681,2021-01-01,169111387
682,2021-01-04,171297413
683,2021-01-05,171818886
684,2021-01-06,171684863
685,2021-01-07,170454606
686,2021-01-08,174890620
687,2021-01-11,178224598
688,2021-01-12,178213750
689,2021-01-13,177817818
690,2021-01-14,177647570
691,2021-01-15,174155966
692,2021-01-18,170986294
693,2021-01-19,172968309
694,2021-01-20,174101449
695,2021-01-21,173151229
696,2021-01-22,173967149
697,2021-01-25,173403565
698,2021-01-27,172736511
699,2021-01-28,170115259
700,2021-01-29,165712717
701,2021-02-01,167078391
702,2021-02-02,170205171
703,2021-02-03,173804538
704,2021-02-04,173811887
705,2021-02-05,174656054
706,2021-02-08,176016814
707,2021-02-09,174765548
708,2021-02-10,175509191
709,2021-02-11,176097977
710,2021-02-12,174749528
711,2021-02-15,173634915
712,2021-02-16,174298463
713,2021-02-17,172999527
714,2021-02-18,173530642
715,2021-02-19,172445613
716,2021-02-22,168462455
717,2021-02-23,168130234
718,2021-02-24,168848620
719,2021-02-25,171159999
720,2021-02-26,166856531
721,2021-03-01,169478318
722,2021-03-02,172841301
723,2021-03-03,174298322
724,2021-03-04,173625654
725,2021-03-05,171092410
726,2021-03-08,171751414
727,2021-03-09,171558859
728,2021-03-10,173261350
729,2021-03-12,171965071
730,2021-03-15,171855008
731,2021-03-16,172260647
732,2021-03-17,169108764
733,2021-03-18,165965816
734,2021-03-19,168559508
735,2021-03-22,170184285
736,2021-03-23,170475687
737,2021-03-24,169351335
738,2021-03-25,166130277
739,2021-03-26,167631668
740,2021-03-30,172907281
741,2021-03-31,172907281
742,2021-04-01,173922752
743,2021-04-05,173163338
744,2021-04-06,176216690
745,2021-04-07,177353461
746,2021-04-08,178120916
747,2021-04-09,180923389
748,2021-04-12,178599797
749,2021-04-13,177231045
750,2021-04-15,178709003
751,2021-04-16,182294894
752,2021-04-19,181233576
753,2021-04-20,182149895
754,2021-04-22,181205029
755,2021-04-23,179879221
756,2021-04-26,180258707
757,2021-04-27,181583127
758,2021-04-28,182107435
759,2021-04-29,182065606
760,2021-04-30,182269515
761,2021-05-03,183786161
762,2021-05-04,180831028
763,2021-05-05,184973063
764,2021-05-06,185813219
765,2021-05-07,185829349
766,2021-05-10,188653548
767,2021-05-11,187602407
768,2021-05-12,186583973
769,2021-05-14,187735211
770,2021-05-17,187480103
771,2021-05-18,187476871
772,2021-05-19,188399804
773,2021-05-20,187403035
774,2021-05-21,188962437
775,2021-05-24,188639450
776,2021-05-25,190112450
777,2021-05-26,190534773
