,Date,portfolio_values
908,2021-12-03,203481813
909,2021-12-06,199249620
910,2021-12-07,200478805
911,2021-12-08,203133486
912,2021-12-09,203724022
913,2021-12-10,203025784
914,2021-12-13,202568754
915,2021-12-14,203812664
916,2021-12-15,202420290
917,2021-12-16,201652422
918,2021-12-17,199538586
919,2021-12-20,198946051
920,2021-12-21,201175117
921,2021-12-22,203461490
922,2021-12-23,204479636
923,2021-12-24,203774330
924,2021-12-27,205408570
925,2021-12-28,207073886
926,2021-12-29,208427549
927,2021-12-30,209723514
928,2021-12-31,211267265
929,2022-01-03,211095239
930,2022-01-04,211125052
931,2022-01-05,210583326
932,2022-01-06,208996485
933,2022-01-07,209178950
934,2022-01-10,208631140
935,2022-01-11,208951127
936,2022-01-12,209810098
937,2022-01-13,210167626
938,2022-01-14,208212506
939,2022-01-17,208460777
940,2022-01-18,206247759
941,2022-01-19,204096379
942,2022-01-20,201287590
943,2022-01-21,198427776
944,2022-01-24,195410529
945,2022-01-25,196826989
946,2022-01-27,194307505
947,2022-01-28,195668334
948,2022-01-31,198680586
949,2022-02-01,201651886
950,2022-02-02,203739717
951,2022-02-03,202616778
952,2022-02-04,202167443
953,2022-02-07,197829862
954,2022-02-08,198843251
955,2022-02-09,200693417
956,2022-02-10,201668023
957,2022-02-11,199155496
958,2022-02-14,194763827
959,2022-02-15,197891329
960,2022-02-16,199308150
961,2022-02-17,198683643
962,2022-02-18,197456167
963,2022-02-21,196095274
964,2022-02-22,194586529
965,2022-02-23,194375122
966,2022-02-24,187132821
967,2022-02-25,191697556
968,2022-02-28,192371067
969,2022-03-02,189588031
970,2022-03-03,189201794
971,2022-03-04,188800796
972,2022-03-07,188361354
973,2022-03-08,191902932
974,2022-03-09,194295471
975,2022-03-10,196457786
976,2022-03-11,199083477
977,2022-03-14,199740641
978,2022-03-15,199253456
979,2022-03-16,201125882
980,2022-03-17,204147816
981,2022-03-21,202333046
982,2022-03-22,202416958
983,2022-03-23,201891581
984,2022-03-24,203657712
985,2022-03-25,202078155
986,2022-03-28,202541599
987,2022-03-29,205188071
988,2022-03-30,204696155
989,2022-03-31,204696155
990,2022-04-01,208053063
991,2022-04-04,211042551
992,2022-04-05,212744853
993,2022-04-06,213179655
994,2022-04-07,213100750
995,2022-04-08,213989084
996,2022-04-11,213979452
997,2022-04-12,213006173
998,2022-04-13,213077612
999,2022-04-18,214757900
1000,2022-04-19,211097665
1001,2022-04-20,213245192
1002,2022-04-21,214484115
1003,2022-04-22,210952464
1004,2022-04-25,207055499
1005,2022-04-26,210545337
1006,2022-04-27,208911685
1007,2022-04-28,212058797
1008,2022-04-29,209514049
1009,2022-05-02,209434036
1010,2022-05-04,207372272
1011,2022-05-05,206625086
1012,2022-05-06,204648040
1013,2022-05-09,204678915
1014,2022-05-10,202922702
1015,2022-05-11,202396152
1016,2022-05-12,199343771
1017,2022-05-13,199921678
1018,2022-05-16,199439573
1019,2022-05-17,202846057
1020,2022-05-18,202485297
1021,2022-05-19,198082706
1022,2022-05-20,203252667
1023,2022-05-23,200437138
1024,2022-05-24,197727454
1025,2022-05-25,196991148
1026,2022-05-26,197722764
1027,2022-05-27,197491793
1028,2022-05-30,199567571
1029,2022-05-31,202035794
1030,2022-06-01,199697642
1031,2022-06-02,200475245
1032,2022-06-03,198949035
1033,2022-06-06,198871149
1034,2022-06-07,198111196
1035,2022-06-08,198423084
1036,2022-06-09,199586027
1037,2022-06-10,199247521
1038,2022-06-13,195670668
1039,2022-06-14,196031773
1040,2022-06-15,195225721
1041,2022-06-16,191668201
1042,2022-06-17,187886993
1043,2022-06-20,188352308
1044,2022-06-21,191937040
1045,2022-06-22,189968673
1046,2022-06-23,192039464
1047,2022-06-24,193311502
1048,2022-06-27,194809238
1049,2022-06-28,196058963
1050,2022-06-29,195827681
1051,2022-06-30,195041530
1052,2022-07-01,193923557
1053,2022-07-04,194027729
