FromDate,ToDate,NetRealizedPnL,NetUnrealizedPnL,TotalGL
21-12-2021,21-12-2021,476928,0,476928
22-12-2021,22-12-2021,-616577.5,0,-616577.5
23-12-2021,23-12-2021,333497.5,0,333497.5
24-12-2021,24-12-2021,92721,0,92721
27-12-2021,27-12-2021,-20242,0,-20242
28-12-2021,28-12-2021,324931.5,0,324931.5
29-12-2021,29-12-2021,-668151.5,0,-668151.5
30-12-2021,30-12-2021,366399,0,366399
31-12-2021,31-12-2021,-602164,0,-602164
03-01-2022,03-01-2022,-167994.32,0,-167994.32
04-01-2022,04-01-2022,430441.33,0,430441.33
05-01-2022,05-01-2022,484775.55,0,484775.55
06-01-2022,06-01-2022,-932880.43,0,-932880.43
07-01-2022,07-01-2022,148585.8,0,148585.8
10-01-2022,10-01-2022,81454.52,0,81454.52
11-01-2022,11-01-2022,198604.41,0,198604.41
12-01-2022,12-01-2022,338143.68,0,338143.68
13-01-2022,13-01-2022,435992.04,0,435992.04
14-01-2022,14-01-2022,62904.95,0,62904.95
17-01-2022,17-01-2022,-25258.6,0,-25258.6
18-01-2022,18-01-2022,132299.06,0,132299.06
19-01-2022,19-01-2022,345006.44,0,345006.44
20-01-2022,20-01-2022,318730.53,0,318730.53
21-01-2022,21-01-2022,-116792.79,0,-116792.79
24-01-2022,24-01-2022,-973836.48,0,-973836.48
25-01-2022,25-01-2022,790694.16,0,790694.16
26-01-2022,26-01-2022,0,0,0
27-01-2022,27-01-2022,-1541434.33,0,-1541434.33
28-01-2022,28-01-2022,345192.13,0,345192.13
31-01-2022,31-01-2022,232512.55,0,232512.55
01-02-2022,01-02-2022,-199624.17,0,-199624.17
02-02-2022,02-02-2022,1261714.49,0,1261714.49
03-02-2022,03-02-2022,268994.2,0,268994.2
04-02-2022,04-02-2022,30772.96,0,30772.96
07-02-2022,07-02-2022,128955.72,0,128955.72
08-02-2022,08-02-2022,151212.71,0,151212.71
09-02-2022,09-02-2022,-222789.44,0,-222789.44
10-02-2022,10-02-2022,202852.57,0,202852.57
11-02-2022,11-02-2022,-427010.54,0,-427010.54
14-02-2022,14-02-2022,462245.9,0,462245.9
15-02-2022,15-02-2022,-819639.56,0,-819639.56
16-02-2022,16-02-2022,471796.09,0,471796.09
17-02-2022,17-02-2022,806501.74,0,806501.74
18-02-2022,18-02-2022,83537.66,0,83537.66
21-02-2022,21-02-2022,90581.05,0,90581.05
22-02-2022,22-02-2022,122734.65,0,122734.65
23-02-2022,23-02-2022,580376.8,0,580376.8
24-02-2022,24-02-2022,-596428.37,0,-596428.37
25-02-2022,25-02-2022,357349.76,0,357349.76
28-02-2022,28-02-2022,38422.51,0,38422.51
02-03-2022,02-03-2022,-192396.74,0,-192396.74
03-03-2022,03-03-2022,1016466.96,0,1016466.96
04-03-2022,04-03-2022,124759.8,0,124759.8
07-03-2022,07-03-2022,-100881.19,0,-100881.19
