datetime,open,high,low,close,ATMStrPr,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt
2021-03-18 13:28:00,33984.2,34004.7,33966.4,33995.3,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:29:00,33999.95,34027.05,33989.3,34014.6,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:30:00,34014.35,34016.45,33927.65,33940.8,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:31:00,33953.15,33969.3,33923.4,33933.35,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:32:00,33927.45,33930.85,33860.85,33878.45,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:33:00,33874.1,33900.9,33855.85,33897.45,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:34:00,33890.6,33949.1,33885.85,33949.1,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:35:00,33944.9,33981.6,33922.6,33943.3,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:36:00,33943.55,34007.35,33939.85,34006.05,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:37:00,34003.35,34003.8,33940.1,33940.1,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:38:00,33936.05,33940.7,33884.7,33904.2,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:39:00,33914.35,33950.65,33913.25,33917.45,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:40:00,33908.1,33932.9,33896.2,33906.95,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:41:00,33903.5,33923.65,33883.65,33898.05,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:42:00,33893.85,33941.35,33892.2,33940.9,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:43:00,33945.55,33966.4,33904.95,33912.35,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:44:00,33913.7,33932.8,33902.1,33915.75,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:45:00,33913.55,33989.45,33910.4,33968.45,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:46:00,33966.6,34013.7,33966.6,34011.15,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:47:00,34021.5,34032.95,33948.2,33952.65,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:48:00,33946.85,33957.1,33930.25,33940.3,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:49:00,33936.5,33991.1,33935.35,33974.8,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:50:00,33972.2,33989.5,33961.85,33965.15,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:51:00,33965.2,33999.85,33948.65,33985.55,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:52:00,33988.8,33990.65,33969.95,33973.45,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:53:00,33970.7,33989.6,33954.75,33959.25,34000.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:54:00,33953.3,33960.05,33916.95,33934.0,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:55:00,33929.8,33938.45,33912.5,33929.45,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:56:00,33928.05,33945.35,33922.05,33924.15,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:57:00,33928.65,33930.9,33876.1,33887.25,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:58:00,33888.7,33893.5,33820.2,33830.35,33800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:59:00,33826.5,33840.25,33775.9,33791.35,33800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:00:00,33792.5,33794.65,33719.4,33739.25,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:01:00,33734.95,33778.5,33734.95,33767.95,33800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:02:00,33768.2,33773.25,33715.6,33735.4,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:03:00,33729.2,33736.95,33694.1,33704.65,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:04:00,33701.6,33726.45,33696.4,33711.15,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:05:00,33707.65,33708.45,33656.2,33663.7,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:06:00,33655.8,33685.05,33655.8,33678.5,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:07:00,33677.7,33731.15,33667.45,33731.15,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:08:00,33747.35,33750.0,33705.55,33739.55,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:09:00,33737.4,33800.0,33737.4,33771.1,33800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:10:00,33763.7,33785.2,33756.6,33757.45,33800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:11:00,33753.65,33759.15,33728.7,33728.7,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:12:00,33720.55,33731.5,33665.45,33669.7,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:13:00,33677.45,33695.35,33667.65,33674.85,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:14:00,33682.15,33682.15,33614.5,33637.95,33600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:15:00,33637.85,33702.25,33637.85,33686.25,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:16:00,33687.1,33687.1,33612.75,33620.7,33600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:17:00,33612.4,33665.5,33597.55,33646.75,33600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:18:00,33644.0,33670.5,33641.8,33658.7,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:19:00,33657.2,33673.45,33644.5,33670.3,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:20:00,33667.55,33702.35,33649.25,33702.35,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:21:00,33703.15,33705.95,33655.8,33658.65,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:22:00,33656.95,33659.0,33625.55,33644.75,33600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:23:00,33637.6,33644.35,33612.6,33644.35,33600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:24:00,33645.65,33708.5,33642.25,33690.25,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:25:00,33689.6,33757.5,33683.15,33736.95,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:26:00,33736.9,33736.9,33684.95,33717.45,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:27:00,33712.35,33736.05,33700.4,33722.65,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:28:00,33713.0,33731.05,33699.0,33714.6,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:29:00,33713.85,33734.0,33694.35,33723.55,33700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:30:00,33725.85,33803.2,33712.95,33788.8,33800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:31:00,33788.35,33798.0,33757.75,33797.55,33800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:32:00,33800.35,33845.25,33800.35,33840.65,33800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:33:00,33836.8,33837.4,33815.8,33815.8,33800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:34:00,33817.7,33829.1,33764.85,33764.85,33800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:35:00,33767.8,33807.45,33766.0,33783.15,33800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:36:00,33783.7,33805.55,33776.5,33805.55,33800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:37:00,33804.75,33837.3,33804.75,33826.6,33800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:38:00,33834.15,33881.4,33834.15,33871.65,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:39:00,33874.0,33875.35,33829.7,33836.75,33800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:40:00,33836.7,33896.35,33811.7,33896.35,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:41:00,33899.9,33917.5,33849.65,33865.25,33900.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 14:42:00,33861.15,33864.15,33817.55,33817.55,33800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
