datetime,open,high,low,close,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt
2020-09-01 13:57:00,23809.6,23850.05,23806.95,23813.5,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:58:00,23815.7,23830.0,23791.7,23798.8,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:59:00,23794.6,23820.4,23790.15,23815.6,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:00:00,23820.05,23820.05,23728.1,23750.7,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:01:00,23755.6,23758.35,23727.65,23749.9,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:02:00,23750.9,23750.9,23727.1,23737.15,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:03:00,23735.1,23770.25,23726.0,23742.7,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:04:00,23745.1,23771.2,23718.15,23722.35,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:05:00,23727.8,23753.25,23727.1,23734.2,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:06:00,23735.1,23752.55,23722.05,23736.6,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:07:00,23738.85,23757.5,23731.7,23735.45,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:08:00,23737.0,23831.05,23732.4,23828.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:09:00,23821.7,23845.2,23801.85,23845.2,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:10:00,23845.8,23854.75,23815.45,23826.8,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:11:00,23827.2,23828.15,23806.9,23808.35,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:12:00,23807.8,23808.6,23770.4,23774.95,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:13:00,23776.65,23804.5,23775.35,23795.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:14:00,23794.4,23799.3,23785.6,23799.3,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:15:00,23799.2,23799.2,23757.8,23784.9,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:16:00,23785.3,23805.35,23785.3,23802.45,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:17:00,23801.0,23804.7,23776.55,23780.65,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:18:00,23780.4,23790.35,23774.9,23774.9,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:19:00,23771.9,23814.05,23762.05,23801.35,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:20:00,23799.2,23801.9,23786.95,23792.85,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:21:00,23793.9,23796.2,23770.85,23786.25,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:22:00,23787.85,23797.05,23767.15,23768.45,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:23:00,23768.95,23768.95,23747.75,23749.85,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:24:00,23743.2,23747.55,23701.45,23701.45,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:25:00,23708.75,23711.85,23654.1,23689.9,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:26:00,23689.75,23689.75,23635.95,23640.35,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:27:00,23638.1,23672.6,23638.1,23668.2,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:28:00,23666.7,23678.55,23641.7,23645.25,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:29:00,23645.15,23680.55,23637.7,23680.55,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:30:00,23669.3,23669.3,23607.2,23615.65,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:31:00,23617.45,23647.05,23612.1,23647.05,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:32:00,23657.7,23674.85,23625.35,23631.3,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:33:00,23632.0,23661.95,23621.3,23645.2,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:34:00,23649.05,23650.15,23616.2,23627.55,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 14:35:00,23626.55,23626.55,23566.85,23566.85,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
