datetime,open,high,low,close,ATMStrPr,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt,index_x,CEopen,CEhigh,CElow,CEclose,CEentryPrice,CEstoploss,CEtarget,CE_SLhit,CE_Tgthit,CEhitstatus,CEexitPrice,CE_MTM,CE_highMTM,CE_maxMTM,CE_lowMTM,CE_minMTM,CE_PnL,index_y,PEopen,PEhigh,PElow,PEclose,PEentryPrice,PEstoploss,PEtarget,PE_SLhit,PE_Tgthit,PEhitstatus,PEexitPrice,PE_MTM,PE_highMTM,PE_maxMTM,PE_lowMTM,PE_minMTM,PE_PnL,CBopen,CBhigh,CBlow,CBclose
01-01-2020 14:15,32101.5,32104.9,32071.95,32085.45,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:15,27.8,27.9,20.75,24.6,94.55,113.46,18.91,0,0,,,69.95,73.8,73.8,66.65,-6.45,,01-01-2020 14:15,128.2,145.7,128.2,144.1,66.35,79.62,13.27,1,0,SL_hit,79.62,-77.75,-61.85,12.65,-79.35,-101.65,-13.27,156,166.45,156.1,168.7
01-01-2020 14:16,32083.6,32090,32078.25,32084.5,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:16,24.6,25.75,24.15,25.15,94.55,113.46,18.91,0,0,,,69.4,70.4,73.8,68.8,-6.45,,01-01-2020 14:16,143.25,145.9,135.65,140.4,66.35,79.62,13.27,1,0,SL_hit,79.62,-74.05,-69.3,12.65,-79.55,-101.65,-13.27,167.85,170.05,161.4,165.55
01-01-2020 14:17,32083.7,32092.5,32082.3,32087.5,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:17,25.15,25.9,24.5,25.5,94.55,113.46,18.91,0,0,,,69.05,70.05,73.8,68.65,-6.45,,01-01-2020 14:17,140.05,141,135,138.15,66.35,79.62,13.27,1,0,SL_hit,79.62,-71.8,-68.65,12.65,-74.65,-101.65,-13.27,165.2,165.5,160.9,163.65
01-01-2020 14:18,32088.2,32098.15,32085.75,32090.75,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:18,25.5,26.85,25,26.3,94.55,113.46,18.91,0,0,,,68.25,69.55,73.8,67.7,-6.45,,01-01-2020 14:18,138,140,135.7,135.7,66.35,79.62,13.27,1,0,SL_hit,79.62,-69.35,-69.35,12.65,-73.65,-101.65,-13.27,163.5,165,162.55,162
01-01-2020 14:19,32090.4,32095.95,32088.9,32093.2,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:19,25.65,26.1,25.05,25.6,94.55,113.46,18.91,0,0,,,68.95,69.5,73.8,68.45,-6.45,,01-01-2020 14:19,137.45,139.65,136.8,137,66.35,79.62,13.27,1,0,SL_hit,79.62,-70.65,-70.45,12.65,-73.3,-101.65,-13.27,163.1,164.7,162.9,162.6
01-01-2020 14:20,32094.25,32100.05,32085.75,32090.15,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:20,25.8,26.9,24.4,24.4,94.55,113.46,18.91,0,0,,,70.15,70.15,73.8,67.65,-6.45,,01-01-2020 14:20,137.65,140.55,135.55,140.55,66.35,79.62,13.27,1,0,SL_hit,79.62,-74.2,-69.2,12.65,-74.2,-101.65,-13.27,163.45,164.95,162.45,164.95
01-01-2020 14:21,32090.45,32093.75,32083.55,32083.55,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:21,24.6,24.6,23.5,24,94.55,113.46,18.91,0,0,,,70.55,71.05,73.8,69.95,-6.45,,01-01-2020 14:21,140,143.4,139,141,66.35,79.62,13.27,1,0,SL_hit,79.62,-74.65,-72.65,12.65,-77.05,-101.65,-13.27,164.6,166.9,163.6,165
01-01-2020 14:22,32086.1,32093.3,32080.2,32085.9,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:22,24,24.55,23.65,24.25,94.55,113.46,18.91,0,0,,,70.3,70.9,73.8,70,-6.45,,01-01-2020 14:22,141.05,146.4,140.85,142.45,66.35,79.62,13.27,1,0,SL_hit,79.62,-76.1,-74.5,12.65,-80.05,-101.65,-13.27,165.05,170.05,165.4,166.7
01-01-2020 14:23,32086.2,32096.95,32081.35,32095.25,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:23,24.2,24.85,23.7,24.55,94.55,113.46,18.91,0,0,,,70,70.85,73.8,69.7,-6.45,,01-01-2020 14:23,143.1,144.8,141,142,66.35,79.62,13.27,1,0,SL_hit,79.62,-75.65,-74.65,12.65,-78.45,-101.65,-13.27,167.3,168.5,165.85,166.55
01-01-2020 14:24,32095,32095,32080.1,32084.1,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:24,24.6,25,22.6,23.15,94.55,113.46,18.91,0,0,,,71.4,71.95,73.8,69.55,-6.45,,01-01-2020 14:24,141.2,145,139,144,66.35,79.62,13.27,1,0,SL_hit,79.62,-77.65,-72.65,12.65,-78.65,-101.65,-13.27,165.8,167.6,164,167.15
