entryDt,Entry_relventExpiryDt,Entry_BANKNIFTY_price,Entry_CE_strike,Entry_PE_strike,Entry_symbolCE,Entry_symbolPE,Entry_year,Entry_CEprice,Entry_PEprice,exitDt,Exit_relventExpiryDt,Exit_BANKNIFTY_price,Exit_CE_strike,Exit_PE_strike,Exit_symbolCE,Exit_symbolPE,Exit_year,Exit_CEprice,Exit_PEprice
2020-10-08 15:15:00,2020-10-15 15:15:00,23193.25,23300,23100,BANKNIFTY20101523300CE,BANKNIFTY20101523100PE,2020,341.75,371.35,2020-10-15 15:15:00,2020-10-15 15:15:00,22985.95,23300,23100,BANKNIFTY20101523300CE,BANKNIFTY20101523100PE,2020,0.25,56.25
2020-10-15 15:15:00,2020-10-22 15:15:00,22985.95,23100,22900,BANKNIFTY20102223100CE,BANKNIFTY20102222900PE,2020,398.0,396.55,2020-10-22 15:15:00,2020-10-22 15:15:00,24486.85,23100,22900,BANKNIFTY20102223100CE,BANKNIFTY20102222900PE,2020,1373.2,0.1
2020-10-22 15:15:00,2020-10-29 15:15:00,24486.85,24600,24400,BANKNIFTY20102924600CE,BANKNIFTY20102924400PE,2020,420.05,381.65,2020-10-29 15:15:00,2020-10-29 15:15:00,24114.45,24600,24400,BANKNIFTY20102924600CE,BANKNIFTY20102924400PE,2020,0.2,297.75
2020-10-29 15:15:00,2020-11-05 15:15:00,24114.45,24200,24000,BANKNIFTY20110524200CE,BANKNIFTY20110524000PE,2020,520.1,525.3,2020-11-05 15:15:00,2020-11-05 15:15:00,26323.7,24200,24000,BANKNIFTY20110524200CE,BANKNIFTY20110524000PE,2020,,0.05
2020-11-05 15:15:00,2020-11-12 15:15:00,26323.7,26400,26200,BANKNIFTY20111226400CE,BANKNIFTY20111226200PE,2020,415.0,449.9,2020-11-12 15:15:00,2020-11-12 15:15:00,28311.05,26400,26200,BANKNIFTY20111226400CE,BANKNIFTY20111226200PE,2020,1889.2,0.05
2020-11-12 15:15:00,2020-11-19 15:15:00,28311.05,28400,28200,BANKNIFTY20111928400CE,BANKNIFTY20111928200PE,2020,472.75,433.55,2020-11-19 15:15:00,2020-11-19 15:15:00,28894.85,28400,28200,BANKNIFTY20111928400CE,BANKNIFTY20111928200PE,2020,504.35,0.15
2020-11-19 15:15:00,2020-11-26 15:15:00,28894.85,29000,28800,BANKNIFTY20112629000CE,BANKNIFTY20112628800PE,2020,439.85,440.0,2020-11-26 15:15:00,2020-11-26 15:15:00,29568.7,29000,28800,BANKNIFTY20112629000CE,BANKNIFTY20112628800PE,2020,555.25,0.25
2020-11-26 15:15:00,2020-12-03 15:15:00,29568.7,29700,29500,BANKNIFTY20120329700CE,BANKNIFTY20120329500PE,2020,434.6,432.5,2020-12-03 15:15:00,2020-12-03 15:15:00,29441.4,29700,29500,BANKNIFTY20120329700CE,BANKNIFTY20120329500PE,2020,0.3,55.35
2020-12-03 15:15:00,2020-12-10 15:15:00,29441.4,29500,29300,BANKNIFTY20121029500CE,BANKNIFTY20121029300PE,2020,427.05,348.2,2020-12-10 15:15:00,2020-12-10 15:15:00,30509.5,29500,29300,BANKNIFTY20121029500CE,BANKNIFTY20121029300PE,2020,1004.55,0.3
2020-12-10 15:15:00,2020-12-17 15:15:00,30509.5,30600,30400,BANKNIFTY20121730600CE,BANKNIFTY20121730400PE,2020,414.95,334.85,2020-12-17 15:15:00,2020-12-17 15:15:00,30849.5,30600,30400,BANKNIFTY20121730600CE,BANKNIFTY20121730400PE,2020,250.0,0.3
2020-12-17 15:15:00,2020-12-24 15:15:00,30849.5,30900,30700,BANKNIFTY20122430900CE,BANKNIFTY20122430700PE,2020,357.55,315.5,2020-12-24 15:15:00,2020-12-24 15:15:00,30378.55,30900,30700,BANKNIFTY20122430900CE,BANKNIFTY20122430700PE,2020,0.15,302.15
