entryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,year,CEprice
2021-09-30 15:15:00,2021-09-30,2021-09-30,2021-09-30,37446.35,37700,37200,BANKNIFTY21093037700CE,2021,0.55
2021-10-07 15:15:00,2021-10-07,2021-10-07,2021-10-07,37744.8,38000,37500,BANKNIFTY21100738000CE,2021,0.25
2021-10-14 15:15:00,2021-10-14,2021-10-14,2021-10-14,39360.15,39600,39100,BANKNIFTY21101439600CE,2021,0.3
2021-10-21 15:15:00,2021-10-21,2021-10-21,2021-10-21,40035.3,40300,39800,BANKNIFTY21102140300CE,2021,0.8
2021-10-28 15:15:00,2021-10-28,2021-10-28,2021-10-28,39528.1,39800,39300,BANKNIFTY21102839800CE,2021,0.9
2021-11-03 15:15:00,2021-11-03,2021-11-03,2021-11-03,39359.75,39600,39100,BANKNIFTY21110339600CE,2021,1.05
2021-11-11 15:15:00,2021-11-11,2021-11-11,2021-11-11,38551.2,38800,38300,BANKNIFTY21111138800CE,2021,0.4
2021-11-18 15:15:00,2021-11-18,2021-11-18,2021-11-18,37946.4,38200,37700,BANKNIFTY21111838200CE,2021,0.55
2021-11-25 15:15:00,2021-11-25,2021-11-25,2021-11-25,37332.65,37600,37100,BANKNIFTY21112537600CE,2021,0.25
2021-12-02 15:15:00,2021-12-02,2021-12-02,2021-12-02,36482.2,36750,36250,BANKNIFTY21120236750CE,2021,
2021-12-09 15:15:00,2021-12-09,2021-12-09,2021-12-09,37076.65,37350,36850,BANKNIFTY21120937350CE,2021,
2021-12-16 15:15:00,2021-12-16,2021-12-16,2021-12-16,36557.2,36800,36300,BANKNIFTY21121636800CE,2021,0.35
2021-12-23 15:15:00,2021-12-23,2021-12-23,2021-12-23,35241.4,35500,35000,BANKNIFTY21122335500CE,2021,0.2
2021-12-30 15:15:00,2021-12-30,2021-12-30,2021-12-30,35081.25,35350,34850,BANKNIFTY21123035350CE,2021,
