entryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,symbolPE,year,CEprice,PEprice
10-06-2021 15:15,10-06-2021,10-06-2021,10-06-2021,35135.6,35400,34900,BANKNIFTY21061035400CE,BANKNIFTY21061034900PE,2021,0.2,0.25
17-06-2021 15:15,17-06-2021,17-06-2021,17-06-2021,34679.65,34950,34450,BANKNIFTY21061734950CE,BANKNIFTY21061734450PE,2021,,
24-06-2021 15:15,24-06-2021,24-06-2021,24-06-2021,34831.25,35100,34600,BANKNIFTY21062435100CE,BANKNIFTY21062434600PE,2021,0.2,0.35
01-07-2021 15:15,01-07-2021,01-07-2021,01-07-2021,34682.5,34950,34450,BANKNIFTY21070134950CE,BANKNIFTY21070134450PE,2021,,
08-07-2021 15:15,08-07-2021,08-07-2021,08-07-2021,35328.2,35600,35100,BANKNIFTY21070835600CE,BANKNIFTY21070835100PE,2021,0.4,0.2
15-07-2021 15:15,15-07-2021,15-07-2021,15-07-2021,35904.55,36150,35650,BANKNIFTY21071536150CE,BANKNIFTY21071535650PE,2021,,
22-07-2021 15:15,22-07-2021,22-07-2021,22-07-2021,34667.9,34900,34400,BANKNIFTY21072234900CE,BANKNIFTY21072234400PE,2021,0.25,0.25
29-07-2021 15:15,29-07-2021,29-07-2021,29-07-2021,34684.15,34950,34450,BANKNIFTY21072934950CE,BANKNIFTY21072934450PE,2021,,
05-08-2021 15:15,05-08-2021,05-08-2021,05-08-2021,35822.9,36050,35550,BANKNIFTY21080536050CE,BANKNIFTY21080535550PE,2021,,
12-08-2021 15:15,12-08-2021,12-08-2021,12-08-2021,35930.85,36200,35700,BANKNIFTY21081236200CE,BANKNIFTY21081235700PE,2021,0.3,0.3
18-08-2021 15:15,18-08-2021,18-08-2021,18-08-2021,35589,35850,35350,BANKNIFTY21081835850CE,BANKNIFTY21081835350PE,2021,,
26-08-2021 15:15,26-08-2021,26-08-2021,26-08-2021,35617.45,35850,35350,BANKNIFTY21082635850CE,BANKNIFTY21082635350PE,2021,,
02-09-2021 15:15,02-09-2021,02-09-2021,02-09-2021,36827.1,37100,36600,BANKNIFTY21090237100CE,BANKNIFTY21090236600PE,2021,0.25,0.3
09-09-2021 15:15,09-09-2021,09-09-2021,09-09-2021,36686.05,36950,36450,BANKNIFTY21090936950CE,BANKNIFTY21090936450PE,2021,,
