entryDt,relevantEntryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,symbolPE,year,CEprice,PEprice
11-11-2021 15:15,18-11-2021 15:15,11-11-2021,11-11-2021,11-11-2021,38551.2,38650,38450,BANKNIFTY21111838650CE,BANKNIFTY21111838450PE,2021,,
18-11-2021 15:15,25-11-2021 15:15,18-11-2021,18-11-2021,18-11-2021,37946.4,38050,37850,BANKNIFTY21112538050CE,BANKNIFTY21112537850PE,2021,,
25-11-2021 15:15,02-12-2021 15:15,25-11-2021,25-11-2021,25-11-2021,37332.65,37450,37250,BANKNIFTY21120237450CE,BANKNIFTY21120237250PE,2021,,
02-12-2021 15:15,09-12-2021 15:15,02-12-2021,02-12-2021,02-12-2021,36482.2,36600,36400,BANKNIFTY21120936600CE,BANKNIFTY21120936400PE,2021,397.05,380
09-12-2021 15:15,16-12-2021 15:15,09-12-2021,09-12-2021,09-12-2021,37076.65,37200,37000,BANKNIFTY21121637200CE,BANKNIFTY21121637000PE,2021,349.55,340.95
16-12-2021 15:15,23-12-2021 15:15,16-12-2021,16-12-2021,16-12-2021,36557.2,36650,36450,BANKNIFTY21122336650CE,BANKNIFTY21122336450PE,2021,,
23-12-2021 15:15,30-12-2021 15:15,23-12-2021,23-12-2021,23-12-2021,35241.4,35350,35150,BANKNIFTY21123035350CE,BANKNIFTY21123035150PE,2021,,
30-12-2021 15:15,06-01-2022 15:15,30-12-2021,30-12-2021,30-12-2021,35081.25,35200,35000,BANKNIFTY22010635200CE,BANKNIFTY22010635000PE,2021,376,353
06-01-2022 15:15,13-01-2022 15:15,06-01-2022,06-01-2022,06-01-2022,37469.4,37550,37350,BANKNIFTY22011337550CE,BANKNIFTY22011337350PE,2022,,
13-01-2022 15:15,20-01-2022 15:15,13-01-2022,13-01-2022,13-01-2022,38495.1,38600,38400,BANKNIFTY22012038600CE,BANKNIFTY22012038400PE,2022,429.35,400.85
20-01-2022 15:15,27-01-2022 15:15,20-01-2022,20-01-2022,20-01-2022,37930.65,38050,37850,BANKNIFTY22012738050CE,BANKNIFTY22012737850PE,2022,,
27-01-2022 15:15,03-02-2022 15:15,27-01-2022,27-01-2022,27-01-2022,38080.5,38200,38000,BANKNIFTY22020338200CE,BANKNIFTY22020338000PE,2022,716.7,657.55
03-02-2022 15:15,10-02-2022 15:15,03-02-2022,03-02-2022,03-02-2022,39052.35,39150,38950,BANKNIFTY22021039150CE,BANKNIFTY22021038950PE,2022,,
10-02-2022 15:15,17-02-2022 15:15,10-02-2022,10-02-2022,10-02-2022,39000.25,39100,38900,BANKNIFTY22021739100CE,BANKNIFTY22021738900PE,2022,384.65,355
17-02-2022 15:15,24-02-2022 15:15,17-02-2022,17-02-2022,17-02-2022,37506.3,37600,37400,BANKNIFTY22022437600CE,BANKNIFTY22022437400PE,2022,509,523.7
24-02-2022 15:15,03-03-2022 15:15,24-02-2022,24-02-2022,24-02-2022,35222.05,35300,35100,BANKNIFTY22030335300CE,BANKNIFTY22030335100PE,2022,811.05,821.6
03-03-2022 15:15,10-03-2022 15:15,03-03-2022,03-03-2022,03-03-2022,35170.35,35250,35050,BANKNIFTY22031035250CE,BANKNIFTY22031035050PE,2022,,
10-03-2022 15:15,17-03-2022 15:15,10-03-2022,10-03-2022,10-03-2022,34520.25,34600,34400,BANKNIFTY22031734600CE,BANKNIFTY22031734400PE,2022,676,607.25
17-03-2022 15:15,24-03-2022 15:15,17-03-2022,17-03-2022,17-03-2022,36430.75,36550,36350,BANKNIFTY22032436550CE,BANKNIFTY22032436350PE,2022,,
24-03-2022 15:15,31-03-2022 15:15,24-03-2022,24-03-2022,24-03-2022,35528.4,35650,35450,BANKNIFTY22033135650CE,BANKNIFTY22033135450PE,2022,,
31-03-2022 15:15,07-04-2022 15:15,31-03-2022,31-03-2022,31-03-2022,36362.75,36450,36250,BANKNIFTY22040736450CE,BANKNIFTY22040736250PE,2022,,
07-04-2022 15:15,13-04-2022 15:15,07-04-2022,07-04-2022,07-04-2022,37524.1,37600,37400,BANKNIFTY22041337600CE,BANKNIFTY22041337400PE,2022,485.05,371.5
13-04-2022 15:15,21-04-2022 15:15,13-04-2022,13-04-2022,13-04-2022,37436.2,37550,37350,BANKNIFTY22042137550CE,BANKNIFTY22042137350PE,2022,,
21-04-2022 15:15,28-04-2022 15:15,21-04-2022,21-04-2022,21-04-2022,36817.7,36900,36700,BANKNIFTY22042836900CE,BANKNIFTY22042836700PE,2022,415.05,314.9
28-04-2022 15:15,05-05-2022 15:15,28-04-2022,28-04-2022,28-04-2022,36403.7,36500,36300,BANKNIFTY22050536500CE,BANKNIFTY22050536300PE,2022,400.95,358.05
05-05-2022 15:15,12-05-2022 15:15,05-05-2022,05-05-2022,05-05-2022,35261.35,35350,35150,BANKNIFTY22051235350CE,BANKNIFTY22051235150PE,2022,,
